model,metric,index,estimate,se
empirical,wasserstein_unit,1,0.5130239779196133,0.06487096850978641
empirical,category_effect,1,0.08413834742107985,0.016923105680556046
empirical,category_effect,2,0.0682680696912196,0.02166164422633473
empirical,category_effect,3,0.0165602898050716,0.020441817168404333
empirical,category_effect,4,-0.061454200448507856,0.024978085465593606
empirical,category_effect,5,-0.1075125064688632,0.021522085434215958
empirical,cum_ge_effect,2,-0.08413834742108006,0.016923105680556046
empirical,cum_ge_effect,3,-0.15240641711229963,0.02376385370339741
empirical,cum_ge_effect,4,-0.16896670691737115,0.025379547967590146
empirical,cum_ge_effect,5,-0.1075125064688632,0.021522085434215958
oprobit,wasserstein_unit,1,0.5000783054555334,0.057654824874982274
oprobit,category_effect,1,0.08083247240156047,0.009082617600944618
oprobit,category_effect,2,0.06498766857398393,0.007922580493916092
oprobit,category_effect,3,0.014746302944799181,0.001881612901484352
oprobit,category_effect,4,-0.0477071957622575,0.0059339277482725085
oprobit,category_effect,5,-0.11285924815808622,0.012891247134245432
oprobit,cum_ge_effect,2,-0.08083247240156043,0.00908261760094462
oprobit,cum_ge_effect,3,-0.14582014097554455,0.016959144142076804
oprobit,cum_ge_effect,4,-0.16056644392034364,0.018768117858042353
oprobit,cum_ge_effect,5,-0.11285924815808622,0.012891247134245432
ologit,wasserstein_unit,1,0.5066614388120732,0.058607826097294945
ologit,category_effect,1,0.07837522723544527,0.008843668168990708
ologit,category_effect,2,0.07122216814541196,0.008702360836017657
ologit,category_effect,3,0.016120588860969006,0.002175678831839095
ologit,category_effect,4,-0.05274715228788246,0.0066923373531696945
ologit,category_effect,5,-0.11297083195394389,0.012908874573019709
ologit,cum_ge_effect,2,-0.07837522723544527,0.008843668168990708
ologit,cum_ge_effect,3,-0.1495973953808576,0.017467214359269685
ologit,cum_ge_effect,4,-0.16571798424182618,0.01947751491651166
ologit,cum_ge_effect,5,-0.11297083195394389,0.012908874573019709
structured flow,wasserstein_unit,1,0.5037965996679612,0.10743523808259971
structured flow,category_effect,1,0.07255793686799865,0.018091536430932195
structured flow,category_effect,2,0.08027506750617455,0.019484603321153326
structured flow,category_effect,3,0.01908523267624156,0.016968985194265693
structured flow,category_effect,4,-0.06543081567503878,0.021771869918133176
structured flow,category_effect,5,-0.10648742137537594,0.03083044932492039
structured flow,cum_ge_effect,2,-0.07255793686799863,0.018091536430932188
structured flow,cum_ge_effect,3,-0.15283300437417324,0.03244735752922364
structured flow,cum_ge_effect,4,-0.17191823705041456,0.037652450474562185
structured flow,cum_ge_effect,5,-0.10648742137537594,0.03083044932492039
model_free flow,wasserstein_unit,1,0.509371338914832,0.07721124168241653
model_free flow,category_effect,1,0.067804511545765,0.018344981232395384
model_free flow,category_effect,2,0.09246430609600781,0.020784687326254134
model_free flow,category_effect,3,0.022590038986198043,0.018665869594532408
model_free flow,category_effect,4,-0.08441970352864857,0.02464359996993709
model_free flow,category_effect,5,-0.09843915309932219,0.024491012908523298
model_free flow,cum_ge_effect,2,-0.067804511545765,0.01834498123239538
model_free flow,cum_ge_effect,3,-0.16026881764177248,0.027730222953259255
model_free flow,cum_ge_effect,4,-0.18285885662797077,0.027412278996993812
model_free flow,cum_ge_effect,5,-0.09843915309932219,0.024491012908523298
